experiment_id,imputation,features,scaler,feature_engineering,model,RMSE,MAPE,R2,model_path,label
E016,interpolate,all,minmax,policy_reaction,RF,0.7611163440057789,13.800510957437872,0.3040947385846964,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi"
E016,interpolate,all,minmax,policy_reaction,XGBoost,1.2116379610198469,22.35785440763527,-0.7635743229058825,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi"
E017,interpolate,all,robust,none,RF,0.9914099482518896,18.0801584477164,-0.06474603709444993,,Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Tanpa Feature Engineering
E017,interpolate,all,robust,none,XGBoost,1.050106244081411,19.431356354218035,-0.194554501133398,,Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Tanpa Feature Engineering
E018,interpolate,all,robust,lag,RF,1.0731526920933923,18.23276297001557,-0.3834741945767097,,"Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Lag Features (t-1, t-3, t-6)"
E018,interpolate,all,robust,lag,XGBoost,1.0210624507281325,17.339495201597558,-0.252427615171563,,"Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Lag Features (t-1, t-3, t-6)"
E019,interpolate,all,robust,rolling,RF,0.9049029504630913,16.69984971554611,0.06948717327523113,,"Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Rolling Mean & Std (3, 6)"
E019,interpolate,all,robust,rolling,XGBoost,1.0838906797059866,19.470875994719485,-0.3350247564735096,,"Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Rolling Mean & Std (3, 6)"
E020,interpolate,all,robust,lag_rolling,RF,0.9547082123299035,16.362529534039112,-0.03576128139481738,,"Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Lag (1,3) + Rolling (6)"
E020,interpolate,all,robust,lag_rolling,XGBoost,1.0464577809774478,18.44401428998957,-0.24440508954441387,,"Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Lag (1,3) + Rolling (6)"
E021,interpolate,all,robust,diff,RF,0.942836012307905,17.04064128987948,-0.010161192875734582,,Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + First Difference
E021,interpolate,all,robust,diff,XGBoost,1.050389684190569,19.09302269593579,-0.2537739768127154,,Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + First Difference
E022,interpolate,all,robust,interaction,RF,1.1247967704286574,18.705036303881265,-0.37052704104724477,,Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Fitur Interaksi Ekonomi
E022,interpolate,all,robust,interaction,XGBoost,1.0904042392013074,19.996747852203665,-0.2879961054767033,,Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Fitur Interaksi Ekonomi
E023,interpolate,all,robust,calendar,RF,1.038219384042733,18.239110236418675,-0.16766363103812765,,"Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Fitur Kalender (Bulan, Kuartal)"
E023,interpolate,all,robust,calendar,XGBoost,1.0991280060457933,20.269585384065152,-0.30868774399371834,,"Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Fitur Kalender (Bulan, Kuartal)"
E024,interpolate,all,robust,policy_reaction,RF,0.7436324274371736,13.511726941226488,0.3356993712456313,,Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi
E024,interpolate,all,robust,policy_reaction,XGBoost,1.2116379610198469,22.35785440763527,-0.7635743229058825,,Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi
E025,interpolate,domain_itf,standard,none,RF,1.3172226015613546,24.083281021778408,-0.8795671031161141,,Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Tanpa Feature Engineering
E025,interpolate,domain_itf,standard,none,XGBoost,1.1114717538394463,17.70569287264013,-0.33824721417244086,,Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Tanpa Feature Engineering
E026,interpolate,domain_itf,standard,lag,RF,1.538792235163028,29.802193838701683,-1.8445134813138884,,"Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Lag Features (t-1, t-3, t-6)"
E026,interpolate,domain_itf,standard,lag,XGBoost,0.9597639238823777,14.960889145114429,-0.10656484020275503,,"Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Lag Features (t-1, t-3, t-6)"
E027,interpolate,domain_itf,standard,rolling,RF,0.9684520799943694,16.818260686014664,-0.06579733037697677,,"Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Rolling Mean & Std (3, 6)"
E027,interpolate,domain_itf,standard,rolling,XGBoost,1.0692316748246986,19.22679222449468,-0.299158045341386,,"Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Rolling Mean & Std (3, 6)"
E028,interpolate,domain_itf,standard,lag_rolling,RF,1.49133119952516,29.45494941512147,-1.5273568293305764,,"Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Lag (1,3) + Rolling (6)"
E028,interpolate,domain_itf,standard,lag_rolling,XGBoost,1.123322786374506,19.28947465332453,-0.4339284869261224,,"Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Lag (1,3) + Rolling (6)"
E029,interpolate,domain_itf,standard,diff,RF,1.271714979449779,21.730730671558888,-0.8377986546698886,,Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + First Difference
E029,interpolate,domain_itf,standard,diff,XGBoost,0.9824747990634046,16.117536871886813,-0.09688524434148738,,Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + First Difference
E030,interpolate,domain_itf,standard,interaction,RF,1.6106887851203302,31.040586504581423,-1.8103651862016568,,Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Fitur Interaksi Ekonomi
E030,interpolate,domain_itf,standard,interaction,XGBoost,1.197345504098686,20.598425674726784,-0.5530250574790374,,Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Fitur Interaksi Ekonomi
E031,interpolate,domain_itf,standard,calendar,RF,1.2519060456656854,22.309012205082546,-0.6977860497487263,,"Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Fitur Kalender (Bulan, Kuartal)"
E031,interpolate,domain_itf,standard,calendar,XGBoost,1.127348515263064,18.620747045943748,-0.3767525252439645,,"Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Fitur Kalender (Bulan, Kuartal)"
E032,interpolate,domain_itf,standard,policy_reaction,RF,0.7399586324689454,13.166228426562968,0.34224689596440006,,Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi
E032,interpolate,domain_itf,standard,policy_reaction,XGBoost,1.1701245714488093,21.85218254484177,-0.6447966866906929,,Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi
E033,interpolate,domain_itf,minmax,none,RF,1.3172335940327238,24.083928364773577,-0.8795984739318794,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Tanpa Feature Engineering"
E033,interpolate,domain_itf,minmax,none,XGBoost,1.1114717538394463,17.70569287264013,-0.33824721417244086,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Tanpa Feature Engineering"
E034,interpolate,domain_itf,minmax,lag,RF,1.539068558679289,29.806207950522307,-1.8455351612021205,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Lag Features (t-1, t-3, t-6)"
E034,interpolate,domain_itf,minmax,lag,XGBoost,0.9597639238823777,14.960889145114429,-0.10656484020275503,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Lag Features (t-1, t-3, t-6)"
E035,interpolate,domain_itf,minmax,rolling,RF,0.9685217162706888,16.82213445774558,-0.06595060760617533,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Rolling Mean & Std (3, 6)"
E035,interpolate,domain_itf,minmax,rolling,XGBoost,1.0692316748246986,19.22679222449468,-0.299158045341386,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Rolling Mean & Std (3, 6)"
E036,interpolate,domain_itf,minmax,lag_rolling,RF,1.4913592929667376,29.45410945149314,-1.5274520500571556,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Lag (1,3) + Rolling (6)"
E036,interpolate,domain_itf,minmax,lag_rolling,XGBoost,1.123322786374506,19.28947465332453,-0.4339284869261224,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Lag (1,3) + Rolling (6)"
E037,interpolate,domain_itf,minmax,diff,RF,1.2710802323223285,21.728612508903897,-0.835964523106385,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + First Difference"
E037,interpolate,domain_itf,minmax,diff,XGBoost,0.9824747990634046,16.117536871886813,-0.09688524434148738,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + First Difference"
E038,interpolate,domain_itf,minmax,interaction,RF,1.6106887851203302,31.040586504581423,-1.8103651862016577,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Fitur Interaksi Ekonomi"
E038,interpolate,domain_itf,minmax,interaction,XGBoost,1.197345504098686,20.598425674726784,-0.5530250574790374,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Fitur Interaksi Ekonomi"
E039,interpolate,domain_itf,minmax,calendar,RF,1.2516485334444811,22.30096067529189,-0.6970876655639491,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Fitur Kalender (Bulan, Kuartal)"
E039,interpolate,domain_itf,minmax,calendar,XGBoost,1.127348515263064,18.620747045943748,-0.3767525252439645,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Fitur Kalender (Bulan, Kuartal)"
E040,interpolate,domain_itf,minmax,policy_reaction,RF,0.7413472225959886,13.19508912204412,0.3397759295834135,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi"
E040,interpolate,domain_itf,minmax,policy_reaction,XGBoost,1.1701245714488093,21.85218254484177,-0.6447966866906929,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi"
E041,interpolate,domain_itf,robust,none,RF,1.316838266792688,24.076543444138657,-0.8784704356285116,,Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Tanpa Feature Engineering
E041,interpolate,domain_itf,robust,none,XGBoost,1.1114717538394463,17.70569287264013,-0.33824721417244086,,Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Tanpa Feature Engineering
