experiment_id,avg_RMSE
E136,0.20001312870262228
E144,0.2091789454704988
E128,0.2093390122730513
E160,0.21015418712377726
E168,0.21857793671279796
E184,0.22105965418707768
E152,0.2211808945371323
E112,0.22468332132910665
E192,0.22868392836582885
E176,0.229608918463244
E104,0.23529746649271271
E120,0.2357812450097742
E173,0.3886148303920608
E189,0.3887181450884025
E181,0.38878768740888875
E109,0.3904802491616924
E117,0.39049418836570254
E101,0.39049418836570254
E186,0.40522050210714977
E178,0.4076297100493871
E170,0.40793349797449313
E108,0.4191706336250862
E100,0.41918215117192537
E116,0.4192282845833763
E180,0.4203593635404642
E172,0.42035936354046427
E188,0.42036525265934277
E114,0.4398481376511144
E098,0.4420475195332889
E106,0.44232006103481825
E133,0.4756506356193674
E125,0.4758849204701041
E141,0.4758895912199678
E138,0.47708661303095706
E130,0.48119116514077126
E122,0.4819041619228551
E132,0.5012037768878802
E140,0.5013485334631178
E124,0.5015376369812508
E157,0.5126913387052279
E149,0.5130419357502127
E165,0.5133325308293013
E162,0.5286827246485182
E154,0.5338510947220678
E146,0.5348531299185509
E164,0.5361894894763035
E156,0.5362541147974528
E148,0.5362594019281802
E256,0.8747179205047488
E264,0.8748762714545337
E248,0.8751523959133949
E072,0.884974356852297
E064,0.8877762735123327
E056,0.8879486421526226
E360,0.896098776444453
E352,0.8977083960638619
E344,0.8981866993224712
E288,0.901103821836936
E096,0.9080823956352042
E384,0.9112058248108572
E272,0.9153092711812447
E280,0.9159273406565374
E080,0.9209967597214118
E284,0.921390603918899
E276,0.9214447784091347
E088,0.9216309975203011
E268,0.9218094020164866
E368,0.9233325584685403
E376,0.9247041778421763
E240,0.9417013466458707
E048,0.945491613318535
E224,0.950136032941266
E232,0.9504540579980729
E336,0.9532820209874091
E032,0.9550416019588774
E040,0.955735897022399
E171,0.9601659511056966
E187,0.9601659511056966
E179,0.9601659511056966
E320,0.9624781096587578
E328,0.9631094314307154
E380,0.9633543563751296
E092,0.9633543563751296
E076,0.9633820587500825
E084,0.9633820587500825
E364,0.9633820587500825
E372,0.9633820587500825
E169,0.9650843810464671
E185,0.9650843810464671
E177,0.9650843810464671
E216,0.96901243370894
E312,0.9764883473401818
E200,0.9772250217082946
E024,0.9776351942285102
E208,0.9778398313045062
E183,0.9801483935182072
E191,0.9801599848520935
E175,0.9801764358476746
E299,0.9842785931296348
E307,0.984278593129635
E291,0.9846013692941047
E296,0.9848048437653907
E008,0.9850125462579054
E304,0.9856038861506653
E107,0.9861494001808204
E115,0.9861494001808204
E016,0.9863771525128129
E099,0.9864933369884457
E196,0.9891966312488338
E212,0.9892024820344376
E204,0.9892026395612863
E213,0.9914310476712367
E205,0.9914889313256037
E197,0.9916503950718425
E211,0.9931276404592271
E203,0.9931283274398746
E195,0.993469266193818
E019,0.994396815084539
E011,0.9943982837101213
E003,0.9947231837996091
E309,0.9965114620554066
E301,0.9965527749450697
E021,0.9966128482492371
E013,0.9966432623689079
E293,0.9967675064820374
E005,0.9971352904564937
E004,1.000579308043363
E020,1.0005829966536757
E012,1.0006201872334302
E292,1.0033870891499312
E308,1.0033902268221222
E300,1.00339093913177
E363,1.0113632392287104
E267,1.0113632392287104
E075,1.0113632392287104
E371,1.0113873661230335
E275,1.0113873661230335
E083,1.0113873661230335
E091,1.0115201566950007
E283,1.0115201566950007
E379,1.0115201566950007
E219,1.0156084916052341
E235,1.0156500053707238
E227,1.015653890195865
E315,1.0172576589459825
E331,1.0172780349764872
E323,1.01728570280071
E266,1.0179204995227176
E282,1.0180050863851422
E274,1.0181069644568557
E027,1.018841877409534
E043,1.018864360937674
E035,1.0188766955476938
E017,1.0207580961666503
E009,1.0210295317806934
E001,1.0210312135950077
E305,1.0217421571916692
E297,1.0217421571916692
E289,1.021743936345945
E139,1.0223161446976137
E123,1.0223435812760842
E131,1.0223769016718711
E082,1.0249984988776957
E090,1.025295085863212
E074,1.0253847025323588
E361,1.0267022130595285
E073,1.0267022130595285
E265,1.0267022130595285
E273,1.0267414446031156
E369,1.0267414446031156
E281,1.0267414446031156
E081,1.0267414446031156
E377,1.0267414446031156
E089,1.0267414446031156
E210,1.0299755113947633
E194,1.0302736749060366
E202,1.030650977751906
E113,1.0337941475061847
E105,1.0337941475061847
E097,1.0338011093581436
E362,1.0367216323591597
E370,1.0368165456833656
E378,1.037225771529922
E201,1.0374969032669825
E193,1.0375066824972072
E209,1.0377414563794545
E163,1.042047276386573
E155,1.0422246582824921
E147,1.0425133388183432
E259,1.0426608112893025
E251,1.0427199539978333
E243,1.0429767937905414
E018,1.0471075714107623
E002,1.0474840904710585
E010,1.0475405939148061
E067,1.0481113636967034
E059,1.0482792414647681
E051,1.0485684380906501
E199,1.0500247366442501
E207,1.0500400779476307
E215,1.0506433187827282
