PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
,Laju Pertumbuhan Kumulatif (c-to-c),,,,,Laju Pertumbuhan Triwulanan Berantai (q-to-q),,,,,Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),,,,
,2012,,,,,2012,,,,,2012,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A. Pertanian, Kehutanan, dan Perikanan",5.49,4.82,5.11,4.59,4.59,11.24,7.27,11.33,-22.64,4.59,5.49,4.21,5.6,2.78,4.59
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",5.15,4.85,5.38,4.58,4.58,16.95,7.28,13.34,-28.53,4.58,5.15,4.57,6.31,1.63,4.58
a. Tanaman Pangan,2.12,3.47,6.15,4.9,4.9,129.24,-22.44,4.52,-47.32,4.9,2.12,5.28,12.54,-2.11,4.9
b. Tanaman Hortikultura,17.56,6.46,-0.99,-2.21,-2.21,-27.83,36.84,1.56,-5.85,-2.21,17.56,-0.41,-11.54,-5.56,-2.21
c. Tanaman Perkebunan,4.53,5.92,7.24,6.95,6.95,-17.05,46.58,28.55,-32.2,6.95,4.53,6.88,9.02,5.97,6.95
d. Peternakan,6.45,4.39,4.91,4.97,4.97,-4.84,1.64,5.98,2.57,4.97,6.45,2.45,5.88,5.15,4.97
e. Jasa Pertanian dan Perburuan,8.38,6.88,8.49,6.07,6.07,18,-0.89,10.96,-24.55,6.07,8.38,5.4,11.54,-2.09,6.07
2. Kehutanan dan Penebangan Kayu,0.93,-2.01,-2.14,0.24,0.24,-16.83,19.16,3.49,4.5,0.24,0.93,-4.35,-2.38,7.18,0.24
3. Perikanan,8.82,7.27,6.4,6.29,6.29,-2.14,3.45,3.78,0.88,6.29,8.82,5.81,4.78,5.98,6.29
B. Pertambangan dan Penggalian,7.27,6.38,4.4,3.02,3.02,-2.11,-0.7,-0.37,2.39,3.02,7.27,5.49,0.62,-0.84,3.02
"1. Pertambangan Minyak, Gas dan Panas Bumi",-0.12,-0.76,-2.61,-3.61,-3.61,-4,-0.2,-0.36,-2.1,-3.61,-0.12,-1.4,-6.11,-6.55,-3.61
2. Pertambangan Batubara dan Lignit,22.21,20.96,19.78,15.73,15.73,0.17,-0.17,-2.23,8.07,15.73,22.21,19.73,17.45,5.65,15.73
3. Pertambangan Bijih Logam,5.7,3,-3.57,-3.98,-3.98,1.75,-9.48,-1.06,4.04,-3.98,5.7,0.17,-15.09,-5.19,-3.98
4. Pertambangan dan Penggalian Lainnya,5.18,5.49,5.97,6.04,6.04,-4.1,4.17,3.5,2.75,6.04,5.18,5.79,6.9,6.23,6.04
C. Industri Pengolahan,5.88,5.63,5.5,5.62,5.62,0.66,2.49,2.02,0.71,5.62,5.88,5.39,5.23,5.98,5.62
1. Industri Batubara dan Pengilangan Migas,0.72,-0.27,-2.37,-2.4,-2.4,2.55,-3.43,-0.6,-0.94,-2.4,0.72,-1.27,-6.41,-2.49,-2.4
Industri Pengolahan Non Migas,6.79,6.64,6.85,6.98,6.98,0.35,3.47,2.43,0.95,6.98,6.79,6.5,7.24,7.36,6.98
1. Industri Makanan dan Minuman,9.24,9.26,10.19,10.33,10.33,-0.04,6.31,4.61,-0.37,10.33,9.24,9.28,11.95,10.76,10.33
2. Industri Pengolahan Tembakau,13.88,15.02,12.57,8.82,8.82,-0.71,7.09,-0.98,-6.49,8.82,13.88,16.11,8.06,-1.55,8.82
3. Industri Tekstil dan Pakaian Jadi,4.08,5,5.83,6.04,6.04,-0.34,4.04,0.95,1.88,6.04,4.08,5.9,7.48,6.64,6.04
"4. Industri Kulit, Barang dari Kulit dan Alas Kaki",-9.92,-8.95,-7.48,-5.43,-5.43,-3.58,1.05,-1.06,4.76,-5.43,-9.92,-7.98,-4.36,0.98,-5.43
"5. Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",-1.96,-3.64,-1.96,-0.8,-0.8,-3.54,-3.18,5.58,4.06,-0.8,-1.96,-5.32,1.43,2.61,-0.8
6. Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,2.24,-0.56,-1.05,-2.89,-2.89,-3.99,-3.49,-1.23,0.42,-2.89,2.24,-3.31,-2.06,-8.09,-2.89
"7. Industri Kimia, Farmasi dan Obat Tradisional",11.32,10.55,11.57,12.78,12.78,1.89,1.8,5.27,6.4,12.78,11.32,9.8,13.55,16.18,12.78
"8. Industri Karet, Barang dari Karet dan Plastik",16.93,12.81,10.35,7.56,7.56,10.18,4.03,-8.15,-5.74,7.56,16.93,9.12,5.43,-0.76,7.56
9. Industri Barang Galian bukan Logam,2.51,5.38,6.93,7.91,7.91,3.15,6.34,2.09,-0.99,7.91,2.51,8.22,10.02,10.87,7.91
10. Industri Logam Dasar,-2.59,-2.19,-0.25,-1.57,-1.57,-13.2,-0.04,9.74,-0.36,-1.57,-2.59,-1.78,3.5,-5.13,-1.57
"11. Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",9.32,9.52,10.38,11.64,11.64,2.31,7.47,2.97,1.89,11.64,9.32,9.7,12.03,15.36,11.64
12. Industri Mesin dan Perlengkapan,7.58,0.6,-0.79,-1.39,-1.39,16.07,-5.98,-4.14,-7.63,-1.39,7.58,-5.89,-3.66,-3.37,-1.39
13. Industri Alat Angkutan,2.85,5.24,2.64,4.26,4.26,-0.11,1,0.76,7.28,4.26,2.85,7.72,-2.14,9.06,4.26
14. Industri Furnitur,4,-0.34,-1.81,-2.15,-2.15,-0.06,-6.1,3.02,0.19,-2.15,4,-4.58,-4.63,-3.14,-2.15
15. Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,2.6,-3.16,-2.58,-0.38,-0.38,17.81,-4.39,0.56,-5.19,-0.38,2.6,-8.53,-1.39,7.39,-0.38
D. Pengadaan Listrik dan Gas,6.55,8.8,9.93,10.06,10.06,-1.16,7.24,2.04,2.1,10.06,6.55,10.99,12.13,10.43,10.06
1. Ketenagalistrikan,7.39,9.93,11.34,11.74,11.74,-0.11,8.04,2.24,2.3,11.74,7.39,12.4,14.1,12.88,11.74
2. Pengadaan Gas dan Produksi Es,2.54,3.37,3.16,2.05,2.05,-6.06,3.24,0.98,1.03,2.05,2.54,4.19,2.76,-1.05,2.05
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",3.28,3.55,3.57,3.34,3.34,0.72,0.67,0.56,0.69,3.34,3.28,3.81,3.62,2.67,3.34
F. Konstruksi,6.32,6.05,6.31,6.56,6.56,-3.75,3.67,3.23,4.11,6.56,6.32,5.79,6.82,7.24,6.56
