PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,7.46,6.42,5.75,5.4,5.4,0.42,5.47,1.84,-3.25,5.4,7.46,5.46,4.49,4.36,5.4
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",5.55,6.96,6.1,6.58,6.58,1.7,1.42,1.88,2.73,6.58,5.55,8.4,4.47,7.96,6.58
"2. Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",7.92,6.3,5.67,5.13,5.13,0.12,6.44,1.83,-4.62,5.13,7.92,4.81,4.49,3.51,5.13
H. Transportasi dan Pergudangan,7.18,6.75,6.99,7.11,7.11,-0.01,1.86,4.25,1.2,7.11,7.18,6.33,7.45,7.45,7.11
1. Angkutan Rel,-7.48,-6.69,-4.56,-4.19,-4.19,-3.37,2.53,1.01,-3.1,-4.19,-7.48,-5.9,-0.11,-3.03,-4.19
2. Angkutan Darat,6.98,6.83,7.25,7.47,7.47,0.02,0.76,5.32,1.83,7.47,6.98,6.69,8.06,8.09,7.47
3. Angkutan Laut,10.74,11.08,9.97,8.75,8.75,2.53,5.86,-0.06,-3.01,8.75,10.74,11.41,7.86,5.2,8.75
4. Angkutan Sungai Danau dan Penyeberangan,5.64,4.54,3.32,2.77,2.77,-4.29,0.05,5.02,0.62,2.77,5.64,3.47,1.08,1.19,2.77
5. Angkutan Udara,7.23,5.43,6.05,7.09,7.09,-1.1,3.18,4.22,3.52,7.09,7.23,3.73,7.25,10.1,7.09
6. Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir,7,6.65,6.79,6.48,6.48,0.71,2.36,3.14,-0.68,6.48,7,6.3,7.07,5.6,6.48
I. Penyediaan Akomodasi dan Makan Minum,6.89,6.59,6.44,6.64,6.64,1.53,1.45,1.5,2.57,6.64,6.89,6.3,6.13,7.23,6.64
1. Penyediaan Akomodasi,11.51,10.43,9.69,9.51,9.51,-0.84,3.04,0.51,6.13,9.51,11.51,9.39,8.28,8.99,9.51
2. Penyediaan Makan Minum,5.87,5.73,5.7,5.99,5.99,2.1,1.08,1.73,1.74,5.99,5.87,5.6,5.64,6.81,5.99
J. Informasi dan Komunikasi,12.27,12.35,12.5,12.28,12.28,3.25,1.21,3.99,2.74,12.28,12.27,12.42,12.81,11.64,12.28
K. Jasa Keuangan dan Asuransi,3.65,4.49,7.37,9.54,9.54,6.18,4.1,4.47,0.67,9.54,3.65,5.3,13.23,16.25,9.54
1. Jasa Perantara Keuangan,1.21,2.59,7.05,10.51,10.51,9.19,5.53,5.57,0.05,10.51,1.21,3.93,16.4,21.69,10.51
2. Asuransi dan Dana Pensiun,7.07,7.17,7.47,7.6,7.6,1.67,1.64,2.81,1.64,7.6,7.07,7.28,8.06,7.98,7.6
3. Jasa Keuangan Lainnya,8.46,8.3,8.35,8.39,8.39,1.85,1.79,2.63,1.97,8.39,8.46,8.15,8.44,8.49,8.39
4. Jasa Penunjang Keuangan,10.47,9.36,8.91,8.57,8.57,1.37,3.43,1.57,1.05,8.57,10.47,8.31,8.03,7.61,8.57
L. Real Estate,5.2,5.79,6.7,7.41,7.41,1.42,2.21,3.44,2.1,7.41,5.2,6.37,8.5,9.48,7.41
"M,N. Jasa Perusahaan",7.99,8.03,7.83,7.44,7.44,0.91,1.99,2.15,1.13,7.44,7.99,8.07,7.45,6.32,7.44
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2.37,5.02,2.6,2.13,2.13,-4.4,8.15,-5.87,3.55,2.13,2.37,7.6,-2.01,0.78,2.13
P. Jasa Pendidikan,8.11,9.46,7.48,8.22,8.22,-7.47,8.37,-1.31,11.37,8.22,8.11,10.74,3.83,10.22,8.22
Q. Jasa Kesehatan dan Kegiatan Sosial,8.39,8.29,7.32,7.97,7.97,-2.35,3.43,1.1,7.54,7.97,8.39,8.18,5.48,9.82,7.97
"R,S,T,U. Jasa lainnya",6.79,6.37,6.11,5.76,5.76,1.21,0.93,1.46,1.07,5.76,6.79,5.96,5.6,4.76,5.76
A. NILAI TAMBAH BRUTO ATAS HARGA DASAR,6.47,6.24,5.95,5.85,5.85,1.02,3.68,3.03,-2.21,5.85,6.47,6.02,5.42,5.53,5.85
B. PAJAK DIKURANG SUBSIDI ATAS PRODUK,-10.18,2.42,12.49,15.05,15.05,-9.45,18.72,18.37,-3.78,15.05,-10.18,16.15,32.8,22.45,15.05
C. PRODUK DOMESTIK BRUTO,6.11,6.16,6.08,6.03,6.03,0.8,3.96,3.35,-2.25,6.03,6.11,6.21,5.94,5.87,6.03
