PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
,Laju Pertumbuhan Kumulatif (c-to-c),,,,,Laju Pertumbuhan Triwulanan Berantai (q-to-q),,,,,Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),,,,
,2015,,,,,2015,,,,,2015,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A. Pertanian, Kehutanan, dan Perikanan",3.71,5.18,4.35,3.75,3.75,13.79,10.31,5.09,-22.95,3.75,3.71,6.54,2.88,1.64,3.75
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",2.82,4.74,3.8,3,3,20.61,11.29,6.4,-30.01,3,2.82,6.53,2.15,-0.04,3
a. Tanaman Pangan,-0.63,6.88,5.36,4.32,4.32,103.68,-5.03,-0.07,-49.06,4.32,-0.63,16.11,2.38,-1.53,4.32
b. Tanaman Hortikultura,1.23,1.79,2.36,2.26,2.26,11.13,13.03,0.59,-19.33,2.26,1.23,2.28,3.44,1.92,2.26
c. Tanaman Perkebunan,6.75,3.64,2.48,1.97,1.97,-9.12,35.53,15.08,-29.32,1.97,6.75,1.46,0.78,0.19,1.97
d. Peternakan,5.31,5.29,5.04,3.57,3.57,-4.53,1.21,3.36,-0.39,3.57,5.31,5.27,4.55,-0.52,3.57
e. Jasa Pertanian dan Perburuan,3.53,5.01,4.35,3.76,3.76,24.04,3.78,7.14,-26.36,3.76,3.53,6.47,3.16,1.56,3.76
2. Kehutanan dan Penebangan Kayu,2.37,4.14,2.37,1.76,1.76,-12.04,23.45,-7.99,0.08,1.76,2.37,5.62,-0.93,-0.01,1.76
3. Perikanan,8.35,7.62,7.77,7.89,7.89,-3.12,2.28,2.96,6.08,7.89,8.35,6.91,8.06,8.24,7.89
