PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
,Laju Pertumbuhan Kumulatif (c-to-c),,,,,Laju Pertumbuhan Triwulanan Berantai (q-to-q),,,,,Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),,,,
,2016,,,,,2016,,,,,2016,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
1. Ketenagalistrikan,8.56,7.85,7.17,6.35,6.35,-1.17,3.86,-2.46,3.94,6.35,8.56,7.18,5.82,4.06,6.35
2. Pengadaan Gas dan Produksi Es,1.26,0.82,0.26,-0.43,-0.43,-6.83,-0.96,0.12,5.71,-0.43,1.26,0.38,-0.86,-2.33,-0.43
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",5.39,4.75,3.93,3.6,3.6,-0.98,1.97,0.46,1.21,3.6,5.39,4.12,2.36,2.66,3.6
F. Konstruksi,6.76,5.93,5.59,5.22,5.22,-6.28,1.55,4.71,4.56,5.22,6.76,5.12,4.95,4.21,5.22
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,4.31,4.3,4.08,4.03,4.03,-0.72,4.03,1.29,-0.71,4.03,4.31,4.29,3.66,3.86,4.03
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",3.14,4.77,4.24,3.97,3.97,0.51,1.52,-0.11,1.23,3.97,3.14,6.43,3.18,3.18,3.97
"2. Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",4.6,4.19,4.05,4.04,4.04,-1.02,4.63,1.61,-1.15,4.04,4.6,3.8,3.77,4.02,4.04
H. Transportasi dan Pergudangan,7.42,6.96,7.38,7.45,7.45,-1.19,2.31,5.3,1.11,7.45,7.42,6.52,8.18,7.64,7.45
1. Angkutan Rel,7.88,5.45,4.33,3.46,3.46,-6.02,0.57,5.45,1.38,3.46,7.88,3.13,2.29,1.05,3.46
2. Angkutan Darat,7,6.98,6.98,7.05,7.05,0.92,1.17,4.08,0.96,7.05,7,6.96,6.98,7.27,7.05
3. Angkutan Laut,3.34,2.42,2.34,1.25,1.25,-8.99,4.5,3.55,-0.27,1.25,3.34,1.55,2.19,-1.78,1.25
4. Angkutan Sungai Danau dan Penyeberangan,1.17,1.67,1.11,1.46,1.46,-5.53,1.61,4.56,2.11,1.46,1.17,2.18,0.05,2.49,1.46
5. Angkutan Udara,11.62,10.28,12.37,13.22,13.22,-0.27,3.89,9.27,2.12,13.22,11.62,9.01,16.34,15.61,13.22
6. Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir,7.93,6.97,7.67,7.51,7.51,-3.96,3.78,6.33,1.02,7.51,7.93,6.05,9,7.07,7.51
