PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
"4. Industri Kulit, Barang dari Kulit dan Alas Kaki",8.34,6.41,3.95,2.22,2.22,1.85,-0.02,-6.69,2.34,2.22,8.34,4.55,-0.97,-2.75,2.22
"5. Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",-3.34,-2.73,-1.4,0.13,0.13,1.32,0.67,-0.34,3.15,0.13,-3.34,-2.11,1.36,4.86,0.13
6. Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,7.85,3.15,1.96,0.33,0.33,2.37,-1.53,0.48,-5.73,0.33,7.85,-1.23,-0.35,-4.52,0.33
"7. Industri Kimia, Farmasi dan Obat Tradisional",10.3,9.52,8.05,4.53,4.53,0.58,2.53,0.01,-8.33,4.53,10.3,8.77,5.26,-5.45,4.53
"8. Industri Karet, Barang dari Karet dan Plastik",6.71,2.84,2.25,2.47,2.47,4.97,-7.56,0.14,6.11,2.47,6.71,-1.03,1.04,3.1,2.47
9. Industri Barang Galian bukan Logam,0.78,-1.71,-1.71,-0.86,-0.86,-4.68,-3.83,6.96,3.6,-0.86,0.78,-4.17,-1.7,1.58,-0.86
10. Industri Logam Dasar,-2.17,2.19,5.48,5.87,5.87,1.09,5.22,1.23,-0.58,5.87,-2.17,6.71,12.45,7.05,5.87
"11. Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",3.09,3.76,3.65,2.79,2.79,1.19,-0.27,2.47,-3.03,2.79,3.09,4.44,3.43,0.27,2.79
12. Industri Mesin dan Perlengkapan,0.2,3.27,4.3,5.55,5.55,4.13,7.46,0.01,-2.15,5.55,0.2,6.3,6.33,9.51,5.55
13. Industri Alat Angkutan,3.06,1.82,3.1,3.68,3.68,0.38,-0.5,4.62,0.85,3.68,3.06,0.61,5.64,5.38,3.68
14. Industri Furnitur,4.39,2.8,3.68,3.65,3.65,3.02,1.08,1.22,-1.75,3.65,4.39,1.29,5.44,3.57,3.65
15. Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,-0.85,-1.96,-1.55,-1.68,-1.68,1.16,-1.45,0.86,-2.61,-1.68,-0.85,-3.06,-0.73,-2.07,-1.68
D. Pengadaan Listrik dan Gas,1.6,-0.5,1.29,1.54,1.54,-3.45,-0.99,5.32,1.58,1.54,1.6,-2.53,4.88,2.27,1.54
1. Ketenagalistrikan,1.73,0.32,2.01,2.41,2.41,-3.38,1.03,3.89,2.12,2.41,1.73,-1.04,5.4,3.57,2.41
2. Pengadaan Gas dan Produksi Es,0.77,-5.78,-3.35,-4.03,-4.03,-3.87,-13.89,16.03,-2.12,-4.03,0.77,-12.39,1.53,-5.99,-4.03
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",4.38,4.02,4.28,4.59,4.59,0.69,1.26,1.57,1.89,4.59,4.38,3.66,4.81,5.51,4.59
F. Konstruksi,5.96,6.46,6.64,6.8,6.8,-4.7,2.5,4.74,4.81,6.8,5.96,6.95,6.98,7.24,6.8
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,4.61,4.03,4.43,4.46,4.46,-0.01,2.89,3,-1.35,4.46,4.61,3.46,5.22,4.54,4.46
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",3.32,3.39,4.43,4.75,4.75,0.64,1.66,2.82,0.45,4.75,3.32,3.46,6.5,5.68,4.75
"2. Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",4.92,4.18,4.43,4.39,4.39,-0.16,3.18,3.04,-1.76,4.39,4.92,3.46,4.92,4.27,4.39
H. Transportasi dan Pergudangan,8.06,8.44,8.59,8.49,8.49,-0.8,3.01,5.38,0.48,8.49,8.06,8.8,8.88,8.21,8.49
1. Angkutan Rel,12.3,15.18,17.65,19,19,4.44,5.71,9.29,1.82,19,12.3,18.03,22.32,22.85,19
2. Angkutan Darat,8.33,8.59,8.07,7.94,7.94,1.91,1.65,2.39,1.4,7.94,8.33,8.85,7.08,7.55,7.94
3. Angkutan Laut,0.85,2.29,3.23,4.64,4.64,-6.55,7.42,4.88,3.25,4.64,0.85,3.67,5.01,8.72,4.64
4. Angkutan Sungai Danau dan Penyeberangan,7.51,7.03,6.33,6.01,6.01,-0.91,0.72,3.02,2.21,6.01,7.51,6.57,4.99,5.09,6.01
5. Angkutan Udara,11.69,11.72,12.96,11.93,11.93,-3.65,3.94,12.63,-3.27,11.93,11.69,11.75,15.18,9.11,11.93
6. Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir,6.81,7.46,8.35,8.52,8.52,-4.19,5.02,8.21,0.1,8.52,6.81,8.09,10,8.99,8.52
I. Penyediaan Akomodasi dan Makan Minum,5.36,5.49,5.51,5.41,5.41,0.7,1.48,1.38,1.47,5.41,5.36,5.62,5.54,5.14,5.41
1. Penyediaan Akomodasi,5.53,5.46,5.56,5.14,5.14,-1.14,1.39,1.98,1.68,5.14,5.53,5.38,5.77,3.94,5.14
2. Penyediaan Makan Minum,5.32,5.5,5.49,5.48,5.48,1.18,1.51,1.23,1.42,5.48,5.32,5.68,5.48,5.44,5.48
J. Informasi dan Komunikasi,10.48,10.78,10.1,9.63,9.63,1.49,4.5,0.77,1.3,9.63,10.48,11.06,8.82,8.27,9.63
K. Jasa Keuangan dan Asuransi,6.01,5.97,6.03,5.47,5.47,1.9,1.94,3.01,-2.96,5.47,6.01,5.93,6.14,3.83,5.47
1. Jasa Perantara Keuangan,5.89,5.76,4.39,3.42,3.42,2.7,0.77,0.09,-2.94,3.42,5.89,5.63,1.76,0.54,3.42
2. Asuransi dan Dana Pensiun,5.4,5.04,8.12,9.33,9.33,0.01,4.51,9.14,-1.05,9.33,5.4,4.71,14.12,12.87,9.33
3. Jasa Keuangan Lainnya,7.18,8.31,10.54,9.18,9.18,1.48,3.78,7.21,-6.79,9.18,7.18,9.42,14.89,5.24,9.18
4. Jasa Penunjang Keuangan,7.74,5.98,4.57,3.99,3.99,0.04,-0.17,-0.22,2.66,3.99,7.74,4.28,1.84,2.31,3.99
L. Real Estate,3.63,3.66,3.61,3.6,3.6,1.76,1.02,0.29,0.46,3.6,3.63,3.69,3.52,3.57,3.6
"M,N. Jasa Perusahaan",6.83,7.54,8.16,8.44,8.44,2.25,2.57,2.62,1.51,8.44,6.83,8.24,9.37,9.25,8.44
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",0.22,0.1,0.29,2.05,2.05,-7.91,0.13,2.36,13.28,2.05,0.22,-0.03,0.67,6.93,2.05
P. Jasa Pendidikan,4.1,2.48,2.89,3.72,3.72,-10.41,3.07,1.39,13.15,3.72,4.1,0.96,3.7,5.93,3.72
Q. Jasa Kesehatan dan Kegiatan Sosial,7.1,6.74,7.01,6.84,6.84,-1.72,0.6,1.76,5.7,6.84,7.1,6.38,7.56,6.34,6.84
"R,S,T,U. Jasa lainnya",7.97,8.28,8.66,8.73,8.73,1.85,2.55,2.7,1.56,8.73,7.97,8.59,9.39,8.95,8.73
A. NILAI TAMBAH BRUTO ATAS HARGA DASAR,4.88,4.63,4.75,4.77,4.77,0.87,3.18,2.71,-1.96,4.77,4.88,4.39,4.99,4.8,4.77
B. PAJAK DIKURANG SUBSIDI ATAS PRODUK,9.41,17.25,12.87,13.28,13.28,-27.61,31.11,15.34,4.41,13.28,9.41,24.04,6.77,14.3,13.28
C. PRODUK DOMESTIK BRUTO,5.01,5.01,5.03,5.07,5.07,-0.3,4.01,3.19,-1.7,5.07,5.01,5.01,5.06,5.19,5.07
