PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
,Laju Pertumbuhan Kumulatif (c-to-c),,,,,Laju Pertumbuhan Triwulanan Berantai (q-to-q),,,,,Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),,,,
,2017,,,,,2017,,,,,2017,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A. Pertanian, Kehutanan, dan Perikanan",7.14,5.13,4.32,3.92,3.92,15.37,8.56,4.28,-21.54,3.92,7.14,3.35,2.86,2.47,3.92
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",7.35,5.04,3.99,3.62,3.62,21.65,10.18,4.9,-27.32,3.62,7.35,3.03,2.14,2.2,3.62
a. Tanaman Pangan,12.98,5.28,3.48,2.31,2.31,91.75,-7.54,-1.66,-44.84,2.31,12.98,-1.95,-0.13,-3.83,2.31
b. Tanaman Hortikultura,-0.42,3.19,3.19,3.68,3.68,3.64,22.37,1.56,-18.2,3.68,-0.42,6.35,3.2,5.38,3.68
c. Tanaman Perkebunan,5.72,5.37,4.32,4.5,4.5,-3.03,29.78,12.68,-25.88,4.5,5.72,5.1,2.72,5.1,4.5
d. Peternakan,4.96,5.47,5.05,3.95,3.95,1.25,2.48,1.46,-4.36,3.95,4.96,5.98,4.25,0.69,3.95
e. Jasa Pertanian dan Perburuan,7.07,4.7,4.04,4.08,4.08,22.69,2.93,6.78,-22.71,4.08,7.07,2.5,2.84,4.21,4.08
2. Kehutanan dan Penebangan Kayu,4.34,1.25,1.91,2.13,2.13,-8.43,13.94,-1.85,0.37,2.13,4.34,-1.31,3.19,2.78,2.13
3. Perikanan,6.98,6.65,6.54,5.7,5.7,-0.03,0.29,3.12,-0.06,5.7,6.98,6.32,6.33,3.32,5.7
B. Pertambangan dan Penggalian,-1.3,0.39,0.87,0.66,0.66,-1.32,0.84,0.28,0.26,0.66,-1.3,2.11,1.83,0.04,0.66
"1. Pertambangan Minyak, Gas dan Panas Bumi",-5.39,-4.63,-3.76,-3.54,-3.54,-2.21,-0.93,2.08,-1.76,-3.54,-5.39,-3.86,-1.99,-2.85,-3.54
2. Pertambangan Batubara dan Lignit,2.77,4.69,3.56,1.52,1.52,3.1,-1.89,-6.66,1.27,1.52,2.77,6.73,1.21,-4.4,1.52
3. Pertambangan Bijih Logam,-0.36,3.92,5.59,6.55,6.55,-11.07,9.71,8.86,2.82,6.55,-0.36,8.15,8.65,9.21,6.55
4. Pertambangan dan Penggalian Lainnya,0.68,2.56,3.89,4.68,4.68,-0.11,3.75,2.12,1.15,4.68,0.68,4.44,6.55,7.05,4.68
C. Industri Pengolahan,4.28,3.88,4.22,4.29,4.29,0.66,2.76,2.12,-1.06,4.29,4.28,3.5,4.88,4.51,4.29
1. Industri Batubara dan Pengilangan Migas,0.15,0.08,-0.01,-0.25,-0.25,2.54,-0.07,0.04,-3.39,-0.25,0.15,0.01,-0.2,-0.97,-0.25
Industri Pengolahan Non Migas,4.8,4.36,4.74,4.85,4.85,0.43,3.11,2.37,-0.79,4.85,4.8,3.93,5.5,5.16,4.85
1. Industri Makanan dan Minuman,7.7,7.06,7.71,9.23,9.23,0.11,8.4,4,0.8,9.23,7.7,6.48,8.92,13.77,9.23
2. Industri Pengolahan Tembakau,2.72,1.74,1.68,-0.64,-0.64,-4.37,1.87,2.25,-6.98,-0.64,2.72,0.79,1.58,-7.34,-0.64
3. Industri Tekstil dan Pakaian Jadi,0.32,2.06,2.95,3.83,3.83,0.63,4.55,-1.19,2.4,3.83,0.32,3.78,4.74,6.47,3.83
