PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
,Laju Pertumbuhan Kumulatif (c-to-c),,,,,Laju Pertumbuhan Triwulanan Berantai (q-to-q),,,,,Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),,,,
,2014,,,,,2014,,,,,2014,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A. Pertanian, Kehutanan, dan Perikanan",5.16,5.02,4.5,4.24,4.24,13.36,7.39,8.82,-22,4.24,5.16,4.88,3.6,3.32,4.24
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",4.85,4.69,4.2,3.85,3.85,20.28,7.41,10.96,-28.48,3.85,4.85,4.54,3.34,2.54,3.85
a. Tanaman Pangan,-1.86,-0.41,0.55,0.06,0.06,99.58,-18.72,13.33,-47.03,0.06,-1.86,1.43,2.52,-2.63,0.06
b. Tanaman Hortikultura,13.07,5.09,5.5,5.15,5.15,14.1,11.86,-0.54,-18.12,5.15,13.07,-1.14,6.29,3.94,5.15
c. Tanaman Perkebunan,10.21,9.44,6.57,5.94,5.94,-11.64,42.6,15.85,-28.9,5.94,10.21,8.9,2.62,3.79,5.94
d. Peternakan,6.12,5.85,5.48,5.52,5.52,-4.22,1.25,4.07,4.69,5.52,6.12,5.59,4.77,5.64,5.52
e. Jasa Pertanian dan Perburuan,5.07,4.97,4.28,2.95,2.95,17.73,0.91,10.58,-25.2,2.95,5.07,4.88,3.06,-1.74,2.95
2. Kehutanan dan Penebangan Kayu,3,3.54,2.19,0.58,0.58,-17.35,19.66,-1.91,-0.85,0.58,3,3.99,-0.23,-3.81,0.58
3. Perikanan,7.3,7.1,6.83,7.35,7.35,-2.71,3.67,1.86,5.91,7.35,7.3,6.91,6.31,8.8,7.35
B. Pertambangan dan Penggalian,-1.22,-0.25,0.08,0.43,0.43,-5.1,1.86,2.3,2.6,0.43,-1.22,0.71,0.73,1.46,0.43
"1. Pertambangan Minyak, Gas dan Panas Bumi",-1.29,-1.21,-0.99,-1.97,-1.97,-2.54,-0.01,1.47,-3.8,-1.97,-1.29,-1.13,-0.54,-4.88,-1.97
2. Pertambangan Batubara dan Lignit,-7.4,-4.3,-3.17,1.41,1.41,2.35,-1.68,-1.7,16.95,1.41,-7.4,-0.93,-0.77,15.68,1.41
3. Pertambangan Bijih Logam,4.92,5,4.5,-0.36,-0.36,-30.65,21.86,15.02,-9.49,-0.36,4.92,5.08,3.72,-12.03,-0.36
4. Pertambangan dan Penggalian Lainnya,8.38,6.71,5.78,4.92,4.92,-2.49,0.68,2.16,2.23,4.92,8.38,5.1,4,2.53,4.92
C. Industri Pengolahan,4.45,4.66,4.78,4.64,4.64,-0.37,3.45,0.54,0.59,4.64,4.45,4.86,5.02,4.25,4.64
1. Industri Batubara dan Pengilangan Migas,-2.62,-1.51,-1.02,-2.12,-2.12,-1.94,-0.37,0.33,-3.48,-2.12,-2.62,-0.37,-0.02,-5.4,-2.12
Industri Pengolahan Non Migas,5.51,5.55,5.61,5.61,5.61,-0.15,3.98,0.57,1.13,5.61,5.51,5.59,5.73,5.61,5.61
1. Industri Makanan dan Minuman,9.42,10.17,10.14,9.49,9.49,-1.44,8.8,1.4,-1.01,9.49,9.42,10.86,10.08,7.64,9.49
2. Industri Pengolahan Tembakau,11.33,10.63,10.05,8.33,8.33,0.06,1.89,0.52,1.05,8.33,11.33,9.95,8.93,3.56,8.33
3. Industri Tekstil dan Pakaian Jadi,3.02,2.83,2.34,1.56,1.56,-1.36,4.55,-1.86,-1.95,1.56,3.02,2.65,1.38,-0.76,1.56
"4. Industri Kulit, Barang dari Kulit dan Alas Kaki",6.44,7.12,6.09,5.62,5.62,-2.77,3.97,-0.84,4.03,5.62,6.44,7.79,4.12,4.28,5.62
"5. Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",5.87,5.49,6.03,6.12,6.12,3.06,3.12,-1.19,1.3,6.12,5.87,5.12,7.14,6.39,6.12
6. Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,0.06,2.67,3.81,3.58,3.58,5.92,3.98,-2.92,-3.82,3.58,0.06,5.32,6.2,2.84,3.58
"7. Industri Kimia, Farmasi dan Obat Tradisional",4.63,4.43,3.31,4.04,4.04,3.18,-0.57,-0.92,4.48,4.04,4.63,4.22,1.12,6.2,4.04
"8. Industri Karet, Barang dari Karet dan Plastik",5.44,3.36,2.88,1.16,1.16,4.11,-4.06,-0.15,-3.69,1.16,5.44,1.29,1.92,-3.94,1.16
9. Industri Barang Galian bukan Logam,1.05,0.61,0.67,2.41,2.41,-3.3,1.05,2.59,7.28,2.41,1.05,0.18,0.77,7.53,2.41
