PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
10. Industri Logam Dasar,3.04,4.28,5.39,6.01,6.01,-1.33,4.88,1.7,2.45,6.01,3.04,5.49,7.58,7.83,6.01
"11. Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",0.86,0.06,1.41,2.94,2.94,-1.55,2.96,2.94,3.04,2.94,0.86,-0.72,4.11,7.51,2.94
12. Industri Mesin dan Perlengkapan,8.65,10.35,9.3,8.67,8.67,7.65,-0.05,-1.51,0.81,8.67,8.65,12.1,7.24,6.83,8.67
13. Industri Alat Angkutan,4.06,3.01,3.13,4.01,4.01,-1.7,1.91,0.86,5.45,4.01,4.06,2,3.37,6.54,4.01
14. Industri Furnitur,2.44,3.1,3.61,3.6,3.6,0.49,3.37,-0.28,-0.02,3.6,2.44,3.74,4.63,3.56,3.6
15. Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,14.62,12.54,9.33,7.65,7.65,-0.36,1.68,-2.3,4.11,7.65,14.62,10.57,3.35,3.04,7.65
D. Pengadaan Listrik dan Gas,3.29,4.89,5.24,5.9,5.9,-2.82,5.42,-0.65,5.93,5.9,3.29,6.45,5.93,7.81,5.9
1. Ketenagalistrikan,2.91,4.86,5.01,6.04,6.04,-3.04,6.72,-0.71,6.1,6.04,2.91,6.75,5.31,9,6.04
2. Pengadaan Gas dan Produksi Es,5.3,5.04,6.5,5.17,5.17,-1.68,-1.35,-0.32,5.03,5.17,5.3,4.79,9.56,1.54,5.17
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",4.46,4.81,4.97,5.24,5.24,1.84,1.04,1.14,1.87,5.24,4.46,5.16,5.29,6.02,5.24
F. Konstruksi,7.22,6.83,6.73,6.97,6.97,-4.49,3.8,3.44,4.99,6.97,7.22,6.46,6.53,7.67,6.97
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,6.09,5.57,5.44,5.18,5.18,-0.91,6.31,2.02,-2.82,5.18,6.09,5.08,5.18,4.44,5.18
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",5.83,6.39,5.6,5.01,5.01,2.31,2.39,-2.26,0.88,5.01,5.83,6.93,4.05,3.28,5.01
"2. Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",6.16,5.37,5.4,5.23,5.23,-1.7,7.31,3.06,-3.67,5.23,6.16,4.64,5.45,4.72,5.23
H. Transportasi dan Pergudangan,6.99,7.28,7.42,7.36,7.36,-0.22,3.4,2.78,1.1,7.36,6.99,7.56,7.7,7.2,7.36
1. Angkutan Rel,18.01,20.15,21.05,20.81,20.81,1.87,11.34,2.38,3.46,20.81,18.01,22.13,22.76,20.14,20.81
2. Angkutan Darat,6.6,6.92,7.3,7.64,7.64,1.4,1.74,3.6,1.66,7.64,6.6,7.25,8.02,8.65,7.64
3. Angkutan Laut,13.85,10.59,9.42,7.68,7.68,1.72,2.07,2.65,-3.64,7.68,13.85,7.57,7.23,2.71,7.68
4. Angkutan Sungai Danau dan Penyeberangan,7.4,7.52,7.23,6.85,6.85,-2.54,2.01,5.61,0.74,6.85,7.4,7.64,6.69,5.77,6.85
5. Angkutan Udara,2.02,4.93,5.86,6.07,6.07,-5.25,8.66,0.58,3.01,6.07,2.02,7.76,7.69,6.67,6.07
6. Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir,9.16,8.42,7.7,6.99,6.99,-1.4,4.74,1.76,-0.1,6.99,9.16,7.72,6.34,4.98,6.99
I. Penyediaan Akomodasi dan Makan Minum,6.44,6.4,6.19,5.77,5.77,1.41,1.39,0.89,0.79,5.77,6.44,6.35,5.78,4.57,5.77
1. Penyediaan Akomodasi,8.5,8.23,8.22,7.81,7.81,-0.61,4.69,0.98,1.52,7.81,8.5,7.96,8.2,6.67,7.81
2. Penyediaan Makan Minum,5.95,5.95,5.69,5.27,5.27,1.92,0.6,0.87,0.61,5.27,5.95,5.96,5.18,4.05,5.27
J. Informasi dan Komunikasi,9.89,10.31,10.12,10.12,10.12,2.68,2.7,1.9,2.49,10.12,9.89,10.72,9.75,10.12,10.12
K. Jasa Keuangan dan Asuransi,3.6,4.54,3.64,4.68,4.68,2.68,3.85,-0.42,1.59,4.68,3.6,5.46,1.9,7.87,4.68
1. Jasa Perantara Keuangan,1.42,2.77,1.33,2.92,2.92,3.01,4.98,-1.76,1.58,2.92,1.42,4.08,-1.41,7.92,2.92
2. Asuransi dan Dana Pensiun,7.87,8.01,7.92,7.94,7.94,2.21,2.15,1.82,1.59,7.94,7.87,8.14,7.74,8,7.94
3. Jasa Keuangan Lainnya,6.59,7.18,7.37,7.48,7.48,2.14,1.9,1.82,1.69,7.48,6.59,7.76,7.75,7.78,7.48
4. Jasa Penunjang Keuangan,6.79,6.12,6.48,6.36,6.36,1.43,1.53,1.61,1.34,6.36,6.79,5.47,7.18,6.04,6.36
L. Real Estate,4.66,4.8,4.89,5,5,1.21,1.3,1.45,1.24,5,4.66,4.93,5.07,5.3,5
"M,N. Jasa Perusahaan",10.27,10.13,9.85,9.81,9.81,4.46,1.51,2.16,1.26,9.81,10.27,9.99,9.3,9.69,9.81
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2.66,0.03,0.83,2.38,2.38,-4.53,-0.92,7.33,5.23,2.38,2.66,-2.49,2.38,6.84,2.38
P. Jasa Pendidikan,4.52,4.46,5.06,5.47,5.47,-9.96,0.07,5.27,12.3,5.47,4.52,4.4,6.22,6.53,5.47
Q. Jasa Kesehatan dan Kegiatan Sosial,7.64,8.2,8.69,7.96,7.96,-7.44,2.89,4.87,6.16,7.96,7.64,8.74,9.63,6.03,7.96
"R,S,T,U. Jasa lainnya",8.37,8.92,9.12,8.93,8.93,2.2,1.92,2.06,1.95,8.93,8.37,9.46,9.5,8.38,8.93
A. NILAI TAMBAH BRUTO ATAS HARGA DASAR,4.94,4.97,4.95,5,5,0.18,3.81,2.96,-1.78,5,4.94,4.99,4.9,5.18,5
B. PAJAK DIKURANG SUBSIDI ATAS PRODUK,12.64,7.32,6.84,5.08,5.08,-5.36,4.57,15.82,-12.77,5.08,12.64,2.69,6.04,-0.02,5.08
C. PRODUK DOMESTIK BRUTO,5.12,5.02,4.99,5.01,5.01,0.04,3.83,3.27,-2.07,5.01,5.12,4.94,4.93,5.05,5.01
