PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
,Laju Pertumbuhan Kumulatif (c-to-c),,,,,Laju Pertumbuhan Triwulanan Berantai (q-to-q),,,,,Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),,,,
,2013,,,,,2013,,,,,2013,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A. Pertanian, Kehutanan, dan Perikanan",4.21,4.41,4.08,4.2,4.2,12.79,7.67,10.17,-21.8,4.2,4.21,4.6,3.51,4.63,4.2
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",3.84,4.06,3.77,3.85,3.85,19.49,7.73,12.25,-27.91,3.85,3.84,4.27,3.27,4.17,3.85
a. Tanaman Pangan,-2.76,-2.16,0.32,1.97,1.97,127.72,-21.36,12.12,-44.23,1.97,-2.76,-1.4,5.77,11.97,1.97
b. Tanaman Hortikultura,14.52,10.21,5.52,0.67,0.67,-12.48,27.94,-7.49,-16.27,0.67,14.52,7.07,-2.48,-13.27,0.67
c. Tanaman Perkebunan,9.31,8.31,5.98,6.15,6.15,-14.44,44.32,22.94,-29.7,6.15,9.31,7.63,2.93,6.72,6.15
d. Peternakan,5.22,5.28,4.92,5.08,5.08,-4.77,1.75,4.88,3.82,5.08,5.22,5.33,4.24,5.52,5.08
e. Jasa Pertanian dan Perburuan,2.76,3.78,4.67,5.91,5.91,23.85,1.09,12.53,-21.55,5.91,2.76,4.81,6.3,10.53,5.91
2. Kehutanan dan Penebangan Kayu,2.13,1.83,1.3,0.61,0.61,-20.75,18.52,2.24,2.84,0.61,2.13,1.58,0.35,-1.24,0.61
3. Perikanan,6.77,7.09,6.71,7.24,7.24,-1.41,4.05,2.43,3.49,7.24,6.77,7.39,6,8.74,7.24
B. Pertambangan dan Penggalian,0.84,1.15,2.15,2.53,2.53,-0.45,-0.09,2.28,1.86,2.53,0.84,1.46,4.17,3.63,2.53
"1. Pertambangan Minyak, Gas dan Panas Bumi",-4.44,-4.43,-4.03,-3.18,-3.18,-1.84,-0.17,0.87,0.59,-3.18,-4.44,-4.41,-3.24,-0.58,-3.18
2. Pertambangan Batubara dan Lignit,16.12,11.51,10.13,7.37,7.37,10.09,-8.11,-1.86,0.31,7.37,16.12,6.89,7.3,-0.4,7.37
3. Pertambangan Bijih Logam,-21.95,-9.19,1.28,7.63,7.63,-16.23,21.67,16.52,6.72,7.63,-21.95,4.91,23.55,26.73,7.63
4. Pertambangan dan Penggalian Lainnya,4.76,4.58,4.43,4.61,4.61,-5.44,3.82,3.25,3.69,4.61,4.76,4.41,4.15,5.11,4.61
C. Industri Pengolahan,4.62,4.92,4.44,4.37,4.37,-0.64,3.05,0.38,1.34,4.37,4.62,5.2,3.51,4.17,4.37
1. Industri Batubara dan Pengilangan Migas,-4.22,-3.83,-3.51,-2.64,-2.64,0.73,-2.63,-0.02,2.01,-2.64,-4.22,-3.42,-2.86,0.04,-2.64
Industri Pengolahan Non Migas,6.09,6.32,5.69,5.45,5.45,-0.84,3.91,0.44,1.25,5.45,6.09,6.54,4.47,4.78,5.45
1. Industri Makanan dan Minuman,4.13,4.67,3.97,4.07,4.07,-6.02,7.38,2.12,1.24,4.07,4.13,5.18,2.68,4.33,4.07
2. Industri Pengolahan Tembakau,-1.89,-3.75,-3.55,-0.27,-0.27,-1.05,3.16,1.46,6.3,-0.27,-1.89,-5.48,-3.16,10.09,-0.27
3. Industri Tekstil dan Pakaian Jadi,7.21,7.68,7.26,6.58,6.58,0.19,4.93,-0.63,0.16,6.58,7.21,8.13,6.43,4.64,6.58
"4. Industri Kulit, Barang dari Kulit dan Alas Kaki",2.25,3.08,4.65,5.23,5.23,-2.37,2.67,2.66,3.86,5.23,2.25,3.9,7.81,6.89,5.23
"5. Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",5.72,9.49,7.66,6.19,6.19,-0.62,3.85,-3.05,2.02,6.19,5.72,13.4,4.12,2.08,6.19
6. Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,-0.73,0.42,-0.03,-0.53,-0.53,3.7,-1.22,-3.73,-0.68,-0.53,-0.73,1.61,-0.96,-2.04,-0.53
