PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
"7. Industri Kimia, Farmasi dan Obat Tradisional",10.28,9.19,7.7,5.1,5.1,-3.29,-0.18,2.12,-0.52,5.1,10.28,8.12,4.88,-1.93,5.1
"8. Industri Karet, Barang dari Karet dan Plastik",-4.45,-6.4,-4.65,-1.86,-1.86,6.08,-0.13,-0.76,2.18,-1.86,-4.45,-8.28,-0.9,7.43,-1.86
9. Industri Barang Galian bukan Logam,6.36,4.08,3.31,3.34,3.34,-1.05,1.92,1.99,0.53,3.34,6.36,1.94,1.84,3.41,3.34
10. Industri Logam Dasar,14.34,15.76,12.48,11.63,11.63,4.61,2.45,-0.27,2.22,11.63,14.34,17.18,6.49,9.25,11.63
"11. Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",14.86,13.27,10.94,9.22,9.22,1.87,4.6,-1.84,-0.21,9.22,14.86,11.79,6.57,4.37,9.22
12. Industri Mesin dan Perlengkapan,-12.21,-10.92,-8.36,-5,-5,5.45,-3.13,2.97,1.19,-5,-12.21,-9.55,-2.84,6.44,-5
13. Industri Alat Angkutan,14.58,16.27,16.34,14.95,14.95,4.94,3.97,-0.49,2.32,14.95,14.58,17.94,16.48,11.1,14.95
14. Industri Furnitur,-0.8,3.38,3.41,3.64,3.64,2.35,2.07,-1.13,1.01,3.64,-0.8,7.83,3.49,4.34,3.64
15. Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,-11.7,-7.28,-4.49,-0.7,-0.7,-3.13,5.41,4.52,4.42,-0.7,-11.7,-2.65,1.19,11.44,-0.7
D. Pengadaan Listrik dan Gas,9.76,7.14,5.51,5.23,5.23,-1.76,2.29,-0.17,4.09,5.23,9.76,4.7,2.43,4.42,5.23
1. Ketenagalistrikan,10.83,8.08,6.63,5.96,5.96,-1.93,2.89,0.64,2.5,5.96,10.83,5.54,3.89,4.09,5.96
2. Pengadaan Gas dan Produksi Es,4.44,2.33,-0.26,1.39,1.39,-0.84,-0.87,-4.66,13.32,1.39,4.44,0.28,-5.32,6.2,1.39
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",3.2,3.04,3.14,3.32,3.32,1.24,0.36,1.02,1.17,3.32,3.2,2.88,3.35,3.84,3.32
F. Konstruksi,5.41,5.87,6.07,6.11,6.11,-5.39,4.55,3.37,3.88,6.11,5.41,6.31,6.46,6.21,6.11
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,3.08,4.01,4.35,4.81,4.81,-0.81,7.34,1.92,-2.13,4.81,3.08,4.9,4.98,6.2,4.81
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",8.45,8.4,7.87,7.3,7.3,2.17,1.33,0.45,1.63,7.3,8.45,8.36,6.83,5.69,7.3
"2. Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",1.79,2.99,3.53,4.22,4.22,-1.55,8.87,2.27,-3,4.22,1.79,4.12,4.56,6.33,4.22
H. Transportasi dan Pergudangan,6.93,7.46,7.06,6.97,6.97,-0.49,2.85,2.65,1.56,6.97,6.93,7.97,6.32,6.7,6.97
1. Angkutan Rel,-0.37,2.11,3.23,6.14,6.14,-0.72,7.58,1.86,5.72,6.14,-0.37,4.54,5.42,15.01,6.14
2. Angkutan Darat,8.74,8.94,8.12,7.51,7.51,0.63,1.12,2.86,1.07,7.51,8.74,9.13,6.58,5.78,7.51
3. Angkutan Laut,2.72,3.8,5.23,6.92,6.92,0.11,8.03,2.98,0.61,6.92,2.72,4.83,8.01,12.04,6.92
4. Angkutan Sungai Danau dan Penyeberangan,2.17,3.05,3.88,4.55,4.55,-3.36,1.78,6.56,1.6,4.55,2.17,3.94,5.46,6.49,4.55
5. Angkutan Udara,6.76,6.6,5.28,4.75,4.75,-4.1,2.87,0.65,3.99,4.75,6.76,6.44,2.79,3.26,4.75
6. Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir,4.57,6.52,7.15,7.98,7.98,-0.28,6.14,3.08,1.2,7.98,4.57,8.42,8.36,10.41,7.98
I. Penyediaan Akomodasi dan Makan Minum,6.97,6.98,6.97,6.8,6.8,1.29,1.47,1.45,1.96,6.8,6.97,7,6.94,6.3,6.8
1. Penyediaan Akomodasi,8.48,9.64,10.11,9.48,9.48,-1.31,5.21,0.76,2.98,9.48,8.48,10.76,11.04,7.74,9.48
2. Penyediaan Makan Minum,6.62,6.36,6.24,6.16,6.16,1.92,0.59,1.62,1.71,6.16,6.62,6.11,5.99,5.95,6.16
J. Informasi dan Komunikasi,10.62,11.01,10.71,10.39,10.39,2.31,1.93,2.8,2.15,10.39,10.62,11.41,10.13,9.49,10.39
K. Jasa Keuangan dan Asuransi,12.57,11.42,10.52,8.76,8.76,2.82,2.02,3.06,-4.03,8.76,12.57,10.32,8.82,3.75,8.76
1. Jasa Perantara Keuangan,15.47,13.66,12.36,9.66,9.66,3.61,2.29,3.72,-7.21,9.66,15.47,11.93,9.97,2,9.66
2. Asuransi dan Dana Pensiun,7.89,8.03,7.85,7.69,7.69,1.59,1.9,2.19,1.35,7.69,7.89,8.17,7.51,7.21,7.69
3. Jasa Keuangan Lainnya,7.75,7.22,6.75,6.44,6.44,1.15,0.79,1.83,1.67,6.44,7.75,6.69,5.86,5.55,6.44
4. Jasa Penunjang Keuangan,9.34,9,8.31,8.35,8.35,3,2.79,-0.01,2.43,8.35,9.34,8.67,6.98,8.44,8.35
L. Real Estate,8.91,8.28,7.31,6.54,6.54,0.89,1.04,1.31,1.02,6.54,8.91,7.66,5.45,4.33,6.54
"M,N. Jasa Perusahaan",7.8,7.69,7.88,7.91,7.91,2.31,1.78,2.8,0.9,7.91,7.8,7.57,8.25,8,7.91
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1.79,-0.08,2.12,2.56,2.56,-3.44,4.32,2.22,0.84,2.56,1.79,-1.81,6.62,3.83,2.56
P. Jasa Pendidikan,11.15,6.79,7.11,7.44,7.44,-6.68,0.19,3.46,11.98,7.44,11.15,2.76,7.73,8.32,7.44
Q. Jasa Kesehatan dan Kegiatan Sosial,7.04,6.21,6.97,7.96,7.96,-4.82,1.85,4.02,9.76,7.96,7.04,5.4,8.45,10.69,7.96
"R,S,T,U. Jasa lainnya",5.61,5.6,5.79,6.4,6.4,2.04,0.91,2.03,3,6.4,5.61,5.59,6.17,8.2,6.4
A. NILAI TAMBAH BRUTO ATAS HARGA DASAR,5.08,5.12,5.14,5.2,5.2,0.59,3.76,3.05,-2.04,5.2,5.08,5.16,5.18,5.37,5.2
B. PAJAK DIKURANG SUBSIDI ATAS PRODUK,30.25,27.86,24.49,21.8,21.8,-3.67,14.71,12.16,-7.48,21.8,30.25,25.85,19.24,14.65,21.8
C. PRODUK DOMESTIK BRUTO,5.54,5.57,5.55,5.56,5.56,0.49,4,3.28,-2.18,5.56,5.54,5.59,5.52,5.58,5.56
