PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
"11. Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",-2.41,-0.97,-1.16,-0.61,-0.61,-1.51,2.67,0.42,-0.44,-0.61,-2.41,0.47,-1.54,1.09,-0.61
12. Industri Mesin dan Perlengkapan,15.5,9.64,7.8,9.49,9.49,9.82,-3.05,0.06,7.52,9.49,15.5,4.19,4.25,14.55,9.49
13. Industri Alat Angkutan,5.78,4.19,4.59,4.24,4.24,0.77,-3.51,7.45,-1.19,4.24,5.78,2.59,5.37,3.23,4.24
14. Industri Furnitur,2.92,2.45,1.91,2.22,2.22,2.37,0.18,0.09,0.46,2.22,2.92,2,0.85,3.12,2.22
15. Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,-1.51,-2.16,-2.6,-0.83,-0.83,1.74,-2.77,0.19,5.58,-0.83,-1.51,-2.83,-3.48,4.63,-0.83
D. Pengadaan Listrik dan Gas,3.31,5.42,5.48,5.47,5.47,-2.47,3.09,3.38,1.46,5.47,3.31,7.56,5.58,5.46,5.47
1. Ketenagalistrikan,3.5,4.85,5.02,5.25,5.25,-3.44,3.64,3.07,2.69,5.25,3.5,6.18,5.34,5.92,5.25
2. Pengadaan Gas dan Produksi Es,2.04,9.39,8.63,7,7,4.34,-0.48,5.47,-6.62,7,2.04,17.93,7.19,2.26,7
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",3.7,4.01,4.75,5.56,5.56,-1.04,1.87,3.39,3.54,5.56,3.7,4.32,6.19,7.92,5.56
F. Konstruksi,7.35,6.53,6.27,6.09,6.09,-4.6,0.95,4.8,4.6,6.09,7.35,5.73,5.79,5.58,6.09
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,4.98,5.1,5.15,4.97,4.97,0.41,3.12,3.05,-2.14,4.97,4.98,5.21,5.26,4.41,4.97
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",5.88,5.01,4.99,4.85,4.85,0.84,0.01,3.61,-0.06,4.85,5.88,4.16,4.95,4.42,4.85
"2. Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",4.77,5.12,5.19,4.99,4.99,0.31,3.86,2.92,-2.63,4.99,4.77,5.46,5.33,4.41,4.99
H. Transportasi dan Pergudangan,8.48,8.6,7.6,7.05,7.05,-0.55,3.24,2.48,0.25,7.05,8.48,8.71,5.73,5.48,7.05
1. Angkutan Rel,11.71,12.26,11.1,10.74,10.74,-5.03,6.72,5.65,2.49,10.74,11.71,12.79,9.03,9.74,10.74
2. Angkutan Darat,7.18,7.52,7.35,7.13,7.13,1.55,2.29,1.61,0.89,7.13,7.18,7.85,7.03,6.49,7.13
3. Angkutan Laut,13.09,11.57,8.96,7.22,7.22,-2.79,4.64,-0.82,1.52,7.22,13.09,10.15,4.17,2.41,7.22
4. Angkutan Sungai Danau dan Penyeberangan,5.18,6.41,5.86,5.2,5.2,-0.82,3.06,0.31,0.76,5.2,5.18,7.62,4.79,3.3,5.2
5. Angkutan Udara,9.06,9.37,6.91,6.03,6.03,-3.69,4.52,5.4,-2.4,6.03,9.06,9.67,2.63,3.55,6.03
6. Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir,10.69,10.29,8.66,7.93,7.93,-2.7,4.29,4.08,0.26,7.93,10.69,9.92,5.72,5.89,7.93
I. Penyediaan Akomodasi dan Makan Minum,5.2,5.41,5.59,5.68,5.68,0.77,1.89,1.68,1.51,5.68,5.2,5.62,5.93,5.96,5.68
1. Penyediaan Akomodasi,4.38,4.3,4.3,4.31,4.31,-0.72,1.23,2.08,1.7,4.31,4.38,4.21,4.31,4.33,4.31
2. Penyediaan Makan Minum,5.41,5.69,5.91,6.03,6.03,1.15,2.05,1.58,1.46,6.03,5.41,5.97,6.34,6.38,6.03
J. Informasi dan Komunikasi,7.76,6.41,7,7.02,7.02,1.02,1.94,3.67,0.32,7.02,7.76,5.11,8.14,7.09,7.02
K. Jasa Keuangan dan Asuransi,4.3,3.69,3.49,4.17,4.17,2.36,0.76,3.03,-0.03,4.17,4.3,3.09,3.11,6.23,4.17
1. Jasa Perantara Keuangan,0.86,0.58,1.54,2.39,2.39,3.03,0.21,3.22,-1.48,2.39,0.86,0.31,3.45,5,2.39
2. Asuransi dan Dana Pensiun,12.68,11.19,8.01,7.48,7.48,-0.16,1.81,1.72,2.51,7.48,12.68,9.76,2.3,5.98,7.48
3. Jasa Keuangan Lainnya,7.71,6.55,5.28,7.12,7.12,3.86,1.59,4.69,2.03,7.12,7.71,5.44,2.96,12.7,7.12
4. Jasa Penunjang Keuangan,2.55,2.69,2.78,2.3,2.3,0.27,0.11,-0.08,0.62,2.3,2.55,2.83,2.97,0.91,2.3
L. Real Estate,3.08,3.02,3.25,3.48,3.48,1.28,0.9,1.03,0.89,3.48,3.08,2.96,3.72,4.16,3.48
"M,N. Jasa Perusahaan",8.04,8.47,8.54,8.64,8.64,1.12,3.37,2.41,1.76,8.64,8.04,8.89,8.67,8.94,8.64
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",5.72,6.44,6.92,6.97,6.97,-8.95,1.5,3.04,12.47,6.97,5.72,7.16,7.87,7.1,6.97
P. Jasa Pendidikan,4.82,4.93,5.5,5.36,5.36,-11.35,3.27,2.92,11.41,5.36,4.82,5.03,6.61,4.98,5.36
Q. Jasa Kesehatan dan Kegiatan Sosial,6.05,6.56,6.9,7.15,7.15,-2,1.58,2.23,5.96,7.15,6.05,7.07,7.56,7.83,7.15
"R,S,T,U. Jasa lainnya",8.4,8.8,8.92,8.95,8.95,1.35,3.29,2.66,1.46,8.95,8.4,9.19,9.15,9.04,8.95
A. NILAI TAMBAH BRUTO ATAS HARGA DASAR,4.93,4.93,4.96,4.95,4.95,1,3.17,2.8,-2.06,4.95,4.93,4.93,5.02,4.91,4.95
B. PAJAK DIKURANG SUBSIDI ATAS PRODUK,9.54,12.12,10.78,10.82,10.82,-30.62,36.55,9.93,6.51,10.82,9.54,14.08,8.73,10.92,10.82
C. PRODUK DOMESTIK BRUTO,5.07,5.17,5.17,5.17,5.17,-0.41,4.21,3.09,-1.69,5.17,5.07,5.27,5.17,5.18,5.17
