PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
,Laju Pertumbuhan Kumulatif (c-to-c),,,,,Laju Pertumbuhan Triwulanan Berantai (q-to-q),,,,,Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),,,,
,2018,,,,,2018,,,,,2018,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A. Pertanian, Kehutanan, dan Perikanan",3.34,4.05,3.9,3.88,3.88,16.36,9.98,3.21,-21.38,3.88,3.34,4.7,3.62,3.84,3.88
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",2.64,3.86,3.74,3.65,3.65,22.18,12.7,3.43,-27.46,3.65,2.64,4.98,3.51,3.3,3.65
a. Tanaman Pangan,-3.38,-0.07,0.9,1.42,1.42,92.64,-0.95,-2.19,-44.08,1.42,-3.38,3.51,2.95,4.37,1.42
b. Tanaman Hortikultura,7.02,7.77,7.75,6.99,6.99,5.26,23.93,0.94,-20.72,6.99,7.02,8.38,7.72,4.4,6.99
c. Tanaman Perkebunan,7.15,5.73,4.3,3.83,3.83,-1.15,26.74,9.92,-25.79,3.83,7.15,4.63,2.07,2.2,3.83
d. Peternakan,3.97,4.95,4.93,4.61,4.61,4.55,4.38,0.5,-5.53,4.61,3.97,5.9,4.89,3.61,4.61
e. Jasa Pertanian dan Perburuan,2.97,3.25,3.01,3.11,3.11,21.22,3.48,5.8,-22.02,3.11,2.97,3.52,2.56,3.49,3.11
2. Kehutanan dan Penebangan Kayu,5.41,2.37,3.05,2.78,2.78,-6.09,7.77,2.73,-1.91,2.78,5.41,-0.29,4.35,1.98,2.78
3. Perikanan,5.81,5.32,4.86,5.19,5.19,2.38,-0.65,2.28,2.05,5.19,5.81,4.82,3.97,6.18,5.19
B. Pertambangan dan Penggalian,1.06,1.85,2.13,2.16,2.16,-0.32,2.42,0.31,-0.16,2.16,1.06,2.65,2.67,2.25,2.16
"1. Pertambangan Minyak, Gas dan Panas Bumi",-2.67,-0.99,-1.34,-1.4,-1.4,-2.03,2.5,-0.7,-1.3,-1.4,-2.67,0.71,-2.03,-1.57,-1.4
2. Pertambangan Batubara dan Lignit,-3.83,-2.92,-0.01,4.01,4.01,3.71,-0.02,1.22,11.05,4.01,-3.83,-1.99,6.29,16.56,4.01
3. Pertambangan Bijih Logam,22.54,22.97,18.48,9.01,9.01,-0.22,10.45,-2.41,-22.25,9.01,22.54,23.36,10.59,-16.38,9.01
4. Pertambangan dan Penggalian Lainnya,4.26,2.6,2.33,2.19,2.19,-2.71,0.51,2.91,1.17,2.19,4.26,1.01,1.79,1.81,2.19
C. Industri Pengolahan,4.61,4.24,4.28,4.27,4.27,0.75,2.06,2.58,-1.17,4.27,4.61,3.89,4.36,4.25,4.27
1. Industri Batubara dan Pengilangan Migas,0.72,0.69,-0.01,-0.01,-0.01,4.3,-0.14,-2,-2.04,-0.01,0.72,0.65,-1.4,-0.01,-0.01
Industri Pengolahan Non Migas,5.08,4.67,4.79,4.77,4.77,0.35,2.31,3.1,-1.07,4.77,5.08,4.27,5.02,4.73,4.77
1. Industri Makanan dan Minuman,12.77,10.64,9.74,7.91,7.91,-0.77,4.46,3.45,-4.2,7.91,12.77,8.67,8.1,2.74,7.91
2. Industri Pengolahan Tembakau,-4.63,-0.65,0.81,3.52,3.52,-1.57,10.29,2.64,0.57,3.52,-4.63,3.26,3.65,12.06,3.52
3. Industri Tekstil dan Pakaian Jadi,7.46,6.96,8.01,8.73,8.73,1.57,3.6,2.16,3.09,8.73,7.46,6.48,10.08,10.82,8.73
"4. Industri Kulit, Barang dari Kulit dan Alas Kaki",5.47,8.43,8.55,9.42,9.42,10.46,5.59,-8.83,5.42,9.42,5.47,11.38,8.83,12.1,9.42
"5. Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",3.9,3.09,2.58,0.75,0.75,0.39,-0.9,-1.03,-3.07,0.75,3.9,2.28,1.57,-4.56,0.75
6. Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,-5.99,-4.52,-1.34,1.43,1.43,0.79,1.56,8.84,-1.02,1.43,-5.99,-3.03,5.04,10.28,1.43
"7. Industri Kimia, Farmasi dan Obat Tradisional",-6.24,-4.57,-3.97,-1.42,-1.42,-0.26,6.16,0.15,0.78,-1.42,-6.24,-2.93,-2.79,6.86,-1.42
"8. Industri Karet, Barang dari Karet dan Plastik",3.18,7.35,8.97,6.92,6.92,5.05,0.21,0.58,-4.62,6.92,3.18,11.85,12.34,0.98,6.92
9. Industri Barang Galian bukan Logam,4.96,2.78,2.98,2.75,2.75,-1.51,-7.9,10,2.33,2.75,4.96,0.51,3.37,2.1,2.75
10. Industri Logam Dasar,9.99,6.08,6.77,8.99,8.99,3.87,-2.08,6.91,6.24,8.99,9.99,2.36,8.1,15.52,8.99
