feature_engineering,mean,std,min,max,count
policy_reaction,0.7554316851562638,0.35685284838627596,0.1934243323986154,1.2116379610198469,96
rolling,1.013974747377102,0.0782362612577294,0.8830019289679298,1.127483838598471,96
lag_rolling,1.0235800877560575,0.4102487471351244,0.38596251347313704,1.773330710193221,96
lag,1.0901786949474377,0.48678596495724097,0.40186768320625893,1.990417282977789,96
diff,1.131134654819533,0.6081121241329641,0.3652150830017354,2.360496511164572,96
none,1.3455151934296543,0.4660123261878635,0.8919779518119068,2.2846834062504704,96
calendar,1.361207706289534,0.4551289410593171,0.8910458117546193,2.3848229617495966,96
interaction,1.499880853256685,0.5368540666075797,1.046716143372607,2.451394173729309,96
