model,n_origin,horizon,RMSE_walkforward,MAE_walkforward,RMSE_rw_walkforward,Theil_U2_walkforward,DM_stat,DM_p_value
RF,36,1,0.1267326284052579,0.09341314407890773,0.125,1.0138610272420632,0.15917653691250178,0.8744447869945389
BiLSTM,36,1,0.12985100422867504,0.09846592410812499,0.125,1.0388080338294003,0.29041542807681175,0.7732122975199174
LSTM,36,1,0.13877333081343712,0.11057311780233338,0.125,1.110186646507497,1.0508391758860947,0.3005342151364192
XGBoost,36,1,0.22603787974531434,0.18524546093410915,0.125,1.8083030379625147,3.822574741513091,0.00051990005999758
