tahun,n_bulan,n_bulan_ubah,RMSE_naif,RMSE_RF,RMSE_BiLSTM,RMSE_LSTM,RMSE_XGBoost
2023,12,2,0.10206207261596575,0.17985285652443783,0.13017621070431176,0.09941021912593638,0.2385642051943249
2024,12,2,0.10206207261596575,0.10797202569801731,0.15048208642005634,0.190421939387246,0.22142386765357217
2025,12,5,0.1613743060919757,0.13292428922761493,0.1568321289362184,0.18047467966448935,0.20043534909458136
