model,batas_bawah_latih,batas_atas_latih,pred_val_min,pred_val_max,aktual_val_min,menembus_batas_bawah,n_bulan_luar_rentang,bias_bulan_luar_rentang,RMSE_bulan_luar_rentang
RF,4.25,7.75,4.408042651792652,5.0753694377517915,3.5,False,26,0.8606682419202222,0.878308684533599
BiLSTM,4.25,7.75,3.1010521203279495,5.546874751647313,3.5,True,26,0.10638071959002472,0.30666324755243274
LSTM,4.25,7.75,2.7698107262452445,5.23497495551904,3.5,True,26,-0.2932863980770493,0.4533050819563156
XGBoost,4.25,7.75,4.461801052093506,5.375718116760254,3.5,False,26,1.0988038319807787,1.1146261614705453
