model,l2,n_seed,rmse_seed_min,rmse_seed_median,rmse_seed_max,rmse_seed_std,n_ensembel,rmse_ens_min,rmse_ens_median,rmse_ens_max,rmse_ens_std,pangsa_ens_di_bawah_RF
BiLSTM,0.0,10,0.12179358013342219,0.14545632989791724,0.2131542186179547,0.027112107304998294,120,0.1240865228915385,0.14014937899940919,0.16352038123166862,0.009372533489109453,60.0
BiLSTM,0.01,10,0.11341512372870012,0.12958030426513653,0.1763466989099,0.017809027022208164,120,0.11662467569954525,0.12835204993059496,0.15041268771841154,0.008068786620101995,92.5
LSTM,0.0,10,0.131678040450906,0.17448404698487224,0.23505642625138,0.03180027011357193,120,0.13607212309742453,0.162800311713595,0.20052230261501344,0.014777365317690022,6.666666666666667
LSTM,0.01,10,0.12275441852967758,0.1286066677347515,0.1500626389109888,0.00929391227235195,120,0.11315407621739383,0.12546230934533306,0.1378420598299715,0.005248775883264812,100.0
