imputation,all,corr_top6,domain_itf,mutual_info
ffill,0.7024528632887675,1.1743141444805671,0.8134360233061874,0.6817402405201863
interpolate,1.0274307408122063,1.7541058851645872,1.1827649791414305,1.0286045058502111
knn,1.0282031630037178,1.8123240976423565,1.2118987411608764,1.0294680751085978
mean,1.0211662279506173,1.775165281681492,1.1795136616632063,1.0192186152895266
