imputation,minmax,robust,standard
ffill,0.8422845750864452,0.8430036371450881,0.8436692414652478
interpolate,1.248623099633499,1.2474360964136086,1.248620387179219
knn,1.2708339824164425,1.269761131934527,1.2708254433356918
mean,1.2490448741298295,1.248184027132947,1.2490689386758553
