experiment_id,RMSE_uji,RMSE_val,rank_uji,rank_val
E136,0.20001312870262225,1.1353507867222776,1,112
E144,0.2091789454704988,1.1355586436498202,2,114
E128,0.2093390122730513,1.1355561783546226,3,113
E160,0.21015418712377726,1.1496770563103105,4,124
E168,0.21857793671279796,1.1737956298452505,5,135
E184,0.22105965418707765,1.0654008809286462,6,32
E152,0.2211808945371323,1.149725443469209,7,125
E112,0.22468332132910665,1.1120503809721807,8,95
E192,0.2286839283658288,1.0636209417777995,9,31
E176,0.22960891846324405,1.0658231445161288,10,33
E104,0.23529746649271271,1.1124543002716842,11,96
E120,0.23578124500977415,1.111170348227248,12,94
E173,0.38861483039206074,1.6437204718283316,13,257
E189,0.3887181450884025,1.6437354604057193,14,258
E181,0.3887876874088887,1.6436588381827228,15,256
E109,0.3904802491616923,1.6704311640633434,16,261
E101,0.3904941883657025,1.670317078120421,17,259
E117,0.3904941883657025,1.6703825788364237,17,260
E186,0.40522050210714977,1.829558110650947,19,290
E178,0.407629710049387,1.8292345379218093,20,289
E170,0.4079334979744931,1.829652565288923,21,291
E108,0.4191706336250862,1.8872178903269061,22,296
E100,0.41918215117192537,1.8873104177430884,23,297
E116,0.41922828458337624,1.8870615600728633,24,295
E172,0.4203593635404642,1.9003291744227746,25,300
E180,0.4203593635404642,1.9002293011630864,25,299
E188,0.42036525265934277,1.9002061969816038,27,298
E114,0.4398481376511144,1.9109555869142418,28,302
E098,0.44204751953328886,1.9113376449670227,29,303
E106,0.44232006103481813,1.9108536340265139,30,301
E133,0.4756506356193674,2.11095552000365,31,315
E125,0.4758849204701041,2.1109087876686727,32,313
E141,0.47588959121996777,2.11092158800442,33,314
E138,0.477086613030957,2.2285086782472634,34,348
E130,0.4811911651407713,2.228305356015799,35,346
E122,0.4819041619228551,2.2289148218465797,36,351
E132,0.5012037768878802,2.2686572945624928,37,360
E140,0.5013485334631178,2.2686408455479423,38,359
E124,0.5015376369812508,2.268618253403115,39,358
E157,0.5126913387052279,2.4343687942752075,40,371
E149,0.5130419357502127,2.4343652848012365,41,370
E165,0.5133325308293013,2.4345020356340803,42,372
E162,0.5286827246485182,2.393840145899807,43,367
E154,0.5338510947220679,2.394222794216026,44,368
E146,0.5348531299185509,2.3942902570124427,45,369
E164,0.5361894894763035,2.368776940485874,46,364
E156,0.5362541147974527,2.3689664143710147,47,366
E148,0.5362594019281801,2.368885464736768,48,365
E256,0.8747179205047488,1.118643961290096,49,99
E264,0.8748762714545337,1.1183480426410068,50,97
E248,0.8751523959133949,1.11841280346348,51,98
E072,0.884974356852297,1.0943874858507578,52,68
E064,0.8877762735123327,1.0944631137205194,53,75
E056,0.8879486421526226,1.0942331811862893,54,67
E360,0.896098776444453,1.100195899387426,55,82
E352,0.8977083960638619,1.1004522413557407,56,84
E344,0.8981866993224712,1.1003683197140226,57,83
E288,0.901103821836936,0.8500028267693021,58,3
E096,0.9080823956352042,0.8578923652883439,59,9
E384,0.9112058248108572,0.8571763770526768,60,6
E272,0.9153092711812447,0.8494543216393861,61,2
E280,0.9159273406565374,0.8494311689819926,62,1
E080,0.9209967597214118,0.8573092488454528,63,8
E284,0.921390603918899,1.2672126374857147,64,178
E276,0.9214447784091346,1.267260803702774,65,179
E088,0.9216309975203011,0.8572700960548028,66,7
E268,0.9218094020164866,1.2674233141337574,67,180
E368,0.9233325584685403,0.856463838893859,68,4
E376,0.9247041778421763,0.8564740231589718,69,5
E240,0.9417013466458707,1.080149026596731,70,51
E048,0.9454916133185349,1.0391028225801642,71,27
E224,0.950136032941266,1.0792332558106867,72,49
E232,0.9504540579980729,1.0794298366920627,73,50
E336,0.9532820209874093,1.029635254018928,74,24
E032,0.9550416019588772,1.0381115388928182,75,25
E040,0.9557358970223988,1.0382131439831677,76,26
E171,0.9601659511056966,1.086611281486414,77,55
E187,0.9601659511056966,1.0866147793841456,77,56
E179,0.9601659511056966,1.0867268174112952,77,57
E320,0.9624781096587578,1.0286670160803963,80,22
E328,0.9631094314307154,1.0287728897460293,81,23
E380,0.9633543563751296,1.2347648727337752,82,173
E092,0.9633543563751296,1.2347648727337754,82,174
E076,0.9633820587500825,1.2347588520447332,84,171
E084,0.9633820587500825,1.234681792717643,84,169
E364,0.9633820587500825,1.2347588520447332,84,171
E372,0.9633820587500825,1.234681792717643,84,169
E169,0.9650843810464669,1.023961456428149,88,21
E185,0.9650843810464669,1.0236685172323936,88,19
E177,0.9650843810464669,1.0236685172323936,88,19
E216,0.9690124337089399,0.9334741029800679,91,18
E312,0.9764883473401819,0.9286579928367291,92,15
E200,0.9772250217082946,0.9325001306132878,93,17
E024,0.9776351942285102,0.9249031965381155,94,12
E208,0.9778398313045062,0.9323346357402402,95,16
E183,0.9801483935182072,1.0686926836600654,96,35
E191,0.9801599848520935,1.0686546258100051,97,34
E175,0.9801764358476746,1.0687296859091724,98,36
E299,0.984278593129635,1.0689209100146506,99,37
E307,0.984278593129635,1.0691165206975108,99,38
E291,0.9846013692941047,1.069126086531333,101,39
E296,0.9848048437653907,0.927605515513512,102,14
E008,0.9850125462579054,0.923775804994009,103,10
E304,0.9856038861506653,0.927584452589556,104,13
E107,0.9861494001808204,1.0812611045127793,105,52
E115,0.9861494001808204,1.081464016761613,105,53
E016,0.9863771525128129,0.9239907795210228,107,11
E099,0.9864933369884455,1.0814752592830896,108,54
E196,0.9891966312488338,1.2295886116697914,109,163
E212,0.9892024820344376,1.229650609452782,110,164
E204,0.9892026395612863,1.2297345243613305,111,165
E213,0.9914310476712365,1.0985915466910026,112,79
E205,0.9914889313256036,1.0989660554613545,113,81
E197,0.9916503950718425,1.0987831858858887,114,80
E211,0.9931276404592271,1.0787269766562217,115,47
E203,0.9931283274398746,1.0785317001252075,116,46
E195,0.993469266193818,1.0787371622947957,117,48
E019,0.9943968150845389,1.0695759909329883,118,41
E011,0.9943982837101214,1.069383257376272,119,40
E003,0.9947231837996091,1.0695900702684842,120,42
E309,0.9965114620554066,1.0613139797398077,121,28
E301,0.9965527749450697,1.0617737163957985,122,30
E021,0.9966128482492371,1.070147672487953,123,43
E013,0.9966432623689079,1.0704878613841677,124,44
E293,0.9967675064820374,1.0617145387158988,125,29
E005,0.9971352904564937,1.0705447033592743,126,45
E004,1.000579308043363,1.2172594992439776,127,157
E020,1.0005829966536757,1.217260760106487,128,158
E012,1.0006201872334302,1.217342264279583,129,159
E292,1.0033870891499312,1.2161813431682034,130,154
E308,1.0033902268221222,1.2161835428711147,131,155
E300,1.0033909391317701,1.2162611465554178,132,156
E363,1.0113632392287104,1.1072150400762304,133,91
E267,1.0113632392287104,1.1072150400762304,133,91
E075,1.0113632392287106,1.1072150400762304,135,91
E371,1.0113873661230333,1.1071961428648223,136,85
E275,1.0113873661230333,1.1071961428648223,136,85
E083,1.0113873661230335,1.1071961428648223,138,85
E091,1.0115201566950007,1.107211405595332,139,88
E283,1.0115201566950007,1.107211405595332,139,88
E379,1.0115201566950007,1.107211405595332,139,88
E219,1.0156084916052341,1.3500522180036483,142,205
E235,1.0156500053707236,1.350114754848714,143,207
E227,1.015653890195865,1.3501057934894605,144,206
E315,1.0172576589459823,1.3196092210594146,145,190
E331,1.0172780349764872,1.319691715013127,146,192
E323,1.0172857028007098,1.3196474536199962,147,191
E266,1.0179204995227176,1.3541028971221447,148,208
E282,1.0180050863851422,1.3541552039841267,149,209
E274,1.0181069644568557,1.354246971952198,150,210
E027,1.018841877409534,1.3271334374687083,151,196
E043,1.018864360937674,1.327216604637465,152,198
E035,1.0188766955476938,1.327174697233572,153,197
E017,1.0207580961666503,1.1361425131225902,154,115
E009,1.0210295317806937,1.136227168710453,155,116
E001,1.0210312135950077,1.1362764765297366,156,117
E305,1.0217421571916692,1.137602819150257,157,120
E297,1.0217421571916692,1.137603331630191,157,121
E289,1.021743936345945,1.1377511696479217,159,123
E139,1.022316144697614,1.344303985668632,160,204
E123,1.0223435812760842,1.3442389215342445,161,202
E131,1.022376901671871,1.3443014743113353,162,203
E082,1.024998498877696,1.2911290985464023,163,182
E090,1.025295085863212,1.2911290985464023,164,182
E074,1.0253847025323588,1.2910320405410625,165,181
E361,1.0267022130595285,1.0941650731730959,166,64
E073,1.0267022130595285,1.0941650731730959,166,64
E265,1.0267022130595285,1.0941650731730959,166,64
E377,1.0267414446031153,1.0937247142647193,169,58
E273,1.0267414446031156,1.0937596989516043,170,61
E369,1.0267414446031156,1.0937596989516043,170,61
E281,1.0267414446031156,1.0937247142647193,170,58
E081,1.0267414446031156,1.0937596989516045,170,63
E089,1.0267414446031156,1.0937247142647193,170,58
E210,1.0299755113947633,1.3428258896400873,175,199
E194,1.0302736749060364,1.3429944278333483,176,200
E202,1.030650977751906,1.343175329731324,177,201
E113,1.033794147506185,1.1375647978099697,178,118
