imputation,calendar,diff,interaction,lag,lag_rolling,none,policy_reaction,rolling
ffill,1.3220114618730527,0.4420066867813859,1.489225422241274,0.465214026477831,0.4692881668879037,1.333084901390988,0.220296553222302,1.0027593243166795
interpolate,1.3671138598838457,1.3419710260876478,1.4791385037033977,1.2954599598880334,1.2155955554210571,1.3335304459127852,0.9347252858911008,1.0182775851490031
knn,1.4078889685831173,1.387512635268278,1.5130720130827002,1.3126133090409404,1.2188537401460986,1.3650073135092107,0.9397502560237899,1.019089918176962
mean,1.3478165348181212,1.35304827114082,1.5180874739993684,1.2874274843829456,1.1905828885691707,1.3504381129056329,0.9269546454878621,1.0157721618657638
