scaler,calendar,diff,interaction,lag,lag_rolling,none,policy_reaction,rolling
minmax,1.36119982234226,1.1309985793553656,1.4998822087935224,1.0904652698308663,1.0235659154617909,1.3454316732775926,0.7560934783663571,1.013936115104677
robust,1.3612439833113483,1.1311104803878658,1.4999046639626905,1.0895679611342746,1.0235444865040775,1.345468950646754,0.7520109036764142,1.0139183556289169
standard,1.3611793132149945,1.131294904715367,1.499855687013842,1.0905028538771722,1.023629861302304,1.3456449563646158,0.7581906734260199,1.0140697713977123
